ticker,prev_close,open,gap_pct,timestamp
NVDA,157.25,158.37,0.71,2025-07-05T10:15:47.000464
TSLA,315.65,317.99,0.74,2025-07-05T10:15:47.142641
AAPL,212.44,212.15,-0.14,2025-07-05T10:15:47.285250
AMD,138.52,139.11,0.43,2025-07-05T10:15:47.374825
MSFT,491.09,493.81,0.55,2025-07-05T10:15:47.576358
