ticker,prev_close,open,gap_pct,timestamp,rsi,rel_volume,dist_from_5d_high,dist_from_5d_low
NVDA,157.25,158.37,0.71,2025-07-05T10:15:47.000464,70.98,0.73,-1.02,5.18
TSLA,315.65,317.99,0.74,2025-07-05T10:15:47.142641,48.41,0.59,-4.25,7.55
AAPL,212.44,212.15,-0.14,2025-07-05T10:15:47.285250,74.8,0.5,-0.51,7.17
AMD,138.52,139.11,0.43,2025-07-05T10:15:47.374825,73.48,0.63,-6.66,2.06
MSFT,491.09,493.81,0.55,2025-07-05T10:15:47.576358,69.45,0.62,-0.38,2.07
